threshold,escalation_rate,cost_reduction,quality_retention,random_retention,precision,recall,f1
0.0,1.0,0.0,1.0,1.0,0.5,1.0,0.6666666666666666
0.05,0.675,0.30333333333333334,1.0,0.675,0.7407407407407407,1.0,0.851063829787234
0.1,0.5,0.4666666666666667,1.0,0.5,1.0,1.0,1.0
0.15,0.5,0.4666666666666667,1.0,0.5,1.0,1.0,1.0
0.2,0.5,0.4666666666666667,1.0,0.5,1.0,1.0,1.0
0.25,0.5,0.4666666666666667,1.0,0.5,1.0,1.0,1.0
0.3,0.5,0.4666666666666667,1.0,0.5,1.0,1.0,1.0
0.35,0.5,0.4666666666666667,1.0,0.5,1.0,1.0,1.0
0.4,0.5,0.4666666666666667,1.0,0.5,1.0,1.0,1.0
0.45,0.425,0.5366666666666666,0.85,0.425,1.0,0.85,0.918918918918919
0.5,0.425,0.5366666666666666,0.85,0.425,1.0,0.85,0.918918918918919
0.55,0.4,0.56,0.8,0.4,1.0,0.8,0.8888888888888888
0.6,0.25,0.7,0.5,0.25,1.0,0.5,0.6666666666666666
0.65,0.25,0.7,0.5,0.25,1.0,0.5,0.6666666666666666
0.7,0.175,0.77,0.35,0.175,1.0,0.35,0.5185185185185185
0.75,0.05,0.8866666666666667,0.1,0.05,1.0,0.1,0.18181818181818182
0.8,0.05,0.8866666666666667,0.1,0.05,1.0,0.1,0.18181818181818182
0.85,0.0,0.9333333333333333,0.0,0.0,1.0,0.0,0.0
0.9,0.0,0.9333333333333333,0.0,0.0,1.0,0.0,0.0
0.95,0.0,0.9333333333333333,0.0,0.0,1.0,0.0,0.0
1.0,0.0,0.9333333333333333,0.0,0.0,1.0,0.0,0.0
